Name - Monthly Inflation Rates, by Commodity Group, 2021-2023
Source - Retail Price Survey of Commodities for the Generation of Consumer Price Index, Philippine StatisticsPhilippine Statistics Authority (PSA)
Units - Percent
Description - 
Footnote - Seasonally Adjusted Consumer Price Index (2018=100): January 2022
Date Created - 2023-08-03
Date Modified - 2023-08-03

 ,"2021M1","2021M2","2021M3","2021M4","2021M5","2021M6","2021M7","2021M8","2021M9","2021M10","2021M11","2021M12","2022M1","2022M2","2022M3","2022M4","2022M5","2022M6","2022M7","2022M8","2022M9","2022M10","2022M11","2022M12","2023M1","2023M2","2023M3","2023M4","2023M5","2023M6","2023M7","2023M8","2023M9",
"    Housing, Water, Electricity, Gas, and Other Fuels ","-0.1","1.1","0.1","0.1","0.8","1.0","1.8","2.6","3.0","3.4","4.3","4.7","3.7","3.6","5.1","6.0","5.2","6.7","3.6","4.6","5.3","4.4","3.7","4.0","6.9","7.7","7.9","6.8","7.5","6.8","6.9","5.3","5.6",
"    Furnishing, Household Equipment and Routine Household Maintenance","3.0","2.1","0.8","0.5","0.9","1.0","1.0","0.9","1.0","1.0","1.1","1.2","2.1","2.2","2.6","3.1","2.6","2.4","3.2","3.3","3.3","3.5","4.3","4.5","4.5","6.9","6.4","6.1","6.4","6.0","6.2","6.1","6.0",
"    Health","2.0","2.0","2.0","1.9","2.2","2.3","2.1","2.2","2.3","2.2","2.3","2.2","1.9","1.4","1.5","1.6","1.9","2.2","1.3","1.0","0.7","0.9","1.2","1.4","1.6","2.2","2.2","2.4","2.1","2.1","2.2","2.7","2.9",
"    Transport","3.7","5.5","9.1","12.4","9.5","4.5","3.8","3.5","4.4","6.7","7.9","5.6","6.5","7.9","10.2","12.3","13.8","9.7","17.4","14.7","14.3","15.7","14.8","14.0","12.8","10.8","6.2","4.3","1.1","-2.3","-3.2","1.4","2.6",
"    Information and Communication","0.2","0.2","0.1","0.1","0.1","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.6","0.7","0.7","0.4","0.4","0.0","0.0","0.0","0.0","0.2","0.4","0.3","0.3","0.2","0.2","0.5","0.5","0.5","0.5","0.5",
"    Recreation, Sport and Culture","-0.9","-0.8","-0.9","-0.8","-0.8","-0.8","-0.9","-0.8","0.3","0.3","0.3","0.4","0.3","0.3","0.8","0.7","1.0","2.1","1.4","1.4","1.5","2.6","3.0","3.2","3.5","3.8","3.5","3.6","3.5","3.3","3.4","3.5","3.4",
"    Education Services","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.2","-0.1","0.2","0.2","0.2","-0.1","-0.1","-0.1","-0.1","-0.1","-0.4","-0.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","8.1","3.3","3.3",
"    Restaurants and Accommodation Services","0.1","0.5","0.5","1.6","2.9","3.4","3.0","3.0","2.9","2.7","2.7","2.8","3.4","3.7","3.7","2.5","3.3","2.9","3.0","5.7","5.9","8.6","8.8","9.5","10.4","10.9","11.0","11.4","9.5","9.8","10.1","7.9","8.1",
"    Financial Services","0.0","0.0","0.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"    Personal Care, and Miscellaneous Goods and Services","1.8","1.5","1.4","1.4","1.3","1.3","1.6","1.7","1.7","1.8","1.7","1.8","1.2","1.4","1.9","1.9","2.2","2.6","2.0","2.3","2.2","2.2","2.7","2.7","2.9","3.5","3.3","3.6","3.8","4.0","4.1","3.9","4.0",
"  Area Outsiide NCR",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",
